How many employees directly report to you?,What is your hierarchical level within your organization?,What is your job function?,How many years have you held your current position?,What is your gender?,How old are you?,What is the size of your organisation?,What type of environment do you reside in?,What is your current place of residence?,Did you suffer from a burnout in the last 6 months?,What is the primary industry sector your organization is working in?,How stressed do you feel?,What was your perceived workload in the last month (none - too high)?,"During the last month I felt anxious (1 not at all, 7 extreme)?","During the last month I felt unmotivated (1 not at all, 7 extreme)?","During the last month I felt stressed (1 not at all, 7 extreme)?",What was the perceived number of stressfull events in the last month (none - too high)?,What was your perceived level of control over your life during the last month (none - full)?,The amount of physical activity was?,The quality of my sleep was?,My job satisfaction was?,My job productivity was?,I feel aligned with my team leader?,"I feel engaged at my daily work (1 not at all, 7 extreme)?","I feel appreciated at my workplace (1 not at all, 7 extreme)?","I feel aligned with my other team members (1 not at all, 7 extreme)?","I have a healthy work-life balance  (1 not at all, 7 extreme)?","How close to you feel you are to a burnout? (1 not at all, 7 extreme)?","My abilities fit my job requirement well (1 not at all, 7 extreme)?","How many lottery tickets, tombolas, or games of chance with very low probabilities of winning have you purchased in the past year?","How many times have you gambled for money in the past year (casino, sports-bets, online gambling etc.)?","How many high-risk investments (e.g., cryptocurrency, penny stocks) have you made in the past year?","Do you engage in extreme sports or activities with a known risk of physical injury (rock climbing, skydiving, motorbike racing etc.)?",How many times did you quit a stable job to pursue a career or business opportunity with uncertain outcomes?,How many speculative or unproven business ideas have you invested in within the past five years?,How many times have you traveled to an unfamiliar destination without making detailed plans or reservations?,How many new products or services have you purchased without reading reviews or consulting others?,"How many spontaneous decisions (e.g., last-minute travel, major purchases) have you made in the past 5 years?",How many times have you attended events or activities without knowing anyone there beforehand?,How many times have you changed your career path or job direction in the past 5 years?,"How many insurance policies (e.g., health, life, travel, product warranties) to protect against the possibility of loss have you purchased in the past 5 years?",How many refund policies or money-back guarantees have you utilized in the past 5 years?,"Which one do you prefer: secure, low-return financial products or a riskier, high-return alternative?",How many times have you rejected a job or project opportunity with significant benefits because it involved significant financial or status risk?,"How many high-risk, high-reward investments have you made in the past 5 years?",How many fitness or personal improvement challenges have you taken on in the past 5 years to achieve measurable goals?,How many times have you pursued bonuses or promotions in your job in the past 5 years?,How many times have you avoided giving advice to not be accountable for the outcome in the past 5 years?,"In team-, group of friends- or family-decisions how often are you the one who makes the final call? (in percentages)","How often have you voiced a controversial opinion in a public setting, knowing it might result in social backlash in the past year?","How often have you set a goal for yourself that statistically only a small percentage of people achieve (e.g., climbing Everest, writing a bestseller) in the past 5 years?","Have you ever avoided volunteering for roles (e.g., on a board, committee, or leadership position) where you would be responsible for making impactful decisions for a group?",How satisfied are you with your current job?,To what extent do you feel your work is meaningful?,How supported do you feel by your team leader?,How well does your current role align with your personal values?,Have you considered changing jobs in the past 6 months?,Do you feel appreciated at your organization?,Would you recommend your workplace to others?,How would you rate your job performance over the past year? (Self-assessed),Did you receive any formal recognition or bonus in the past 12 months?,How was your job productivity over the last month?,To what extent did you meet your KPIs in the last year?,How much was the rating of your job productivity for the last year?
1-5,Executive management,Consulting,1-3,Male,36-45,1-9,Suburban / agglomeration,United States,No,Multiple,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Consulting,1-3,Female,56-65,1-9,Suburban / agglomeration,United States,Yes,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Executive management,Community and Social Services,3-5,Male,26-35,1-9,Suburban / agglomeration,United States,No,Construction,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Entry level staff,Research,1-3,Female,18-25,10-49,Urban,Switzerland,No,Other,Low,Very High,4,3,4,High,Average,Average (2-3 days a week),Very High,Average,High,High,5,5,5,4,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Information Technology,5-10,Male,26-35,>1000,Urban,Romania,Yes,IT / Software / Tech,High,,,,,,,,,,,,1,1,2,7,3,1,0,0,1-3,Yes,1-3,1-3,1-3,>20,3-5,>20,1-3,1-3,>20,"secure, low-return financial products",3-5,>20,5-10,3-5,>20,20%,5-10,0,Yes,Very dissatisfied,Not at all,Very,Not at all,"Yes, frequently",Not at all,Probably yes,Exceeds expectations,No,Average,Extremely,
>20,No answer,Administrative,5-10,No answer,No answer,No answer,No answer,No answer,No,No answer,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Research,3-5,Female,56-65,>1000,Suburban / agglomeration,United States,No,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Middle management,Marketing,3-5,Female,36-45,>1000,Urban,Switzerland,No,Manufacturing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,First-level management,Purchasing,3-5,Male,36-45,>1000,Suburban / agglomeration,Switzerland,No,Pharma / Life Sciences,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Entrepreneurship,>10,Male,46-55,1-9,Rural,United States,Yes,Education,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Business Development,>10,Male,56-65,50-249,Suburban / agglomeration,United States,No,Education,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Business Development,3-5,Female,26-35,>1000,Urban,Germany,No,Finance,Medium,,,,,,,,,,,,6,5,6,3,3,6,1-3,0,1-3,No,0,1-3,1-3,5-10,5-10,1-3,0,1-3,1-3,"secure, low-return financial products",0,1-3,3-5,1-3,3-5,60%,1-3,1-3,Yes,Satisfied,Very,Somewhat,Very,No,Somewhat,Definitely yes,Exceeds expectations,Yes,High,Extremely,
1-5,First-level management,Legal,1-3,Female,36-45,>1000,Urban,Spain,No,Agriculture,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Self employed / contractor,Business Development,3-5,Female,26-35,1-9,Urban,Switzerland,Yes,Pharma / Life Sciences,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,No answer,Research,1-3,Female,26-35,>1000,Urban,Switzerland,Yes,Other,High,Average,6,7,7,Average,Low,Average (2-3 days a week),Low,Low,High,High,5,3,5,4,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Environmental / Sustainability,1-3,Male,26-35,1-9,Urban,Netherlands,No,Other,Low,,,,,,,,,,,,6,6,5,6,1,4,1-3,0,0,Yes,1-3,0,1-3,1-3,10-20,>20,1-3,3-5,>20,"riskier, high-return products",1-3,1-3,5-10,1-3,1-3,40%,1-3,5-10,Yes,Neutral,Somewhat,Very,Slightly,"Yes, frequently",Very,Not sure,Meets expectations,Yes,Average,Somewhat,
1-5,Intermediate level staff,Administrative,3-5,Female,46-55,10-49,Suburban / agglomeration,Germany,No,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,Information Technology,1-3,Male,18-25,50-249,Suburban / agglomeration,South Africa,No,Telecommunication,Low,,,,,,,,,,,,6,4,2,4,2,3,3-5,1-3,5-10,No,5-10,5-10,3-5,5-10,5-10,3-5,0,0,3-5,No answer,0,1-3,3-5,1-3,3-5,10%,3-5,3-5,No,Satisfied,Somewhat,Somewhat,Slightly,"Yes, occasionally",Very,Definitely yes,Meets expectations,Yes,Very High,Extremely,
5-10,Senior staff,Information Technology,3-5,Female,26-35,>1000,Suburban / agglomeration,South Africa,No,IT / Software / Tech,Medium,,,,,,,,,,,,7,6,6,6,1,6,1-3,1-3,3-5,No,1-3,1-3,5-10,1-3,1-3,1-3,5-10,3-5,1-3,"riskier, high-return products",1-3,3-5,1-3,3-5,1-3,60%,3-5,1-3,No,Satisfied,Very,Very,Very,No,Very,Definitely yes,Exceeds expectations,Yes,High,Very,
0,Senior staff,Marketing,1-3,Female,36-45,>1000,Suburban / agglomeration,United States,No,Telecommunication,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,First-level management,Administrative,1-3,Female,26-35,>1000,Urban,Mexico,Yes,Manufacturing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Program and Project Management,3-5,Female,36-45,>1000,Suburban / agglomeration,Romania,No,IT / Software / Tech,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Marketing,3-5,Male,26-35,>1000,Rural,United States,Yes,Education,Medium,,,,,,,,,,,,5,5,5,5,5,5,1-3,0,1-3,No,0,0,0,1-3,1-3,1-3,0,0,0,"riskier, high-return products",0,1-3,0,0,0,80%,1-3,1-3,Yes,Satisfied,Extremely,Extremely,Extremely,No,Extremely,Definitely yes,Far exceeds expectations,Yes,,Extremely,Very High
1-5,Executive management,Human Resources,>10,Female,46-55,1-9,Suburban / agglomeration,Switzerland,No,Multiple,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Middle management,Operations,>10,Female,36-45,>1000,Urban,United States,No,Health Care,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Community and Social Services,3-5,Female,56-65,1-9,Suburban / agglomeration,United States,No,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Research,1-3,Male,26-35,>1000,Rural,Switzerland,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Consulting,3-5,Female,26-35,50-249,Urban,Switzerland,No,Multiple,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Information Technology,>10,Male,56-65,>1000,Suburban / agglomeration,United States,No,Health Care,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,Information Technology,>10,Male,36-45,>1000,Urban,Switzerland,No,IT / Software / Tech,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Self employed / contractor,Consulting,5-10,Male,56-65,1-9,Suburban / agglomeration,United States,No,Government,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Executive management,Sales,5-10,Female,46-55,50-249,Urban,United States,Yes,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Executive management,Information Technology,>10,Male,36-45,10-49,Suburban / agglomeration,Italy,No,Manufacturing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Education,3-5,Male,36-45,250-1000,Urban,Portugal,No,Other,Medium,,,,,,,,,,,,7,6,5,6,3,7,5-10,1-3,1-3,Yes,1-3,0,0,1-3,3-5,3-5,1-3,1-3,1-3,"riskier, high-return products",0,1-3,5-10,3-5,1-3,60%,1-3,1-3,Yes,Very satisfied,Extremely,Somewhat,Extremely,No,Very,Definitely yes,Far exceeds expectations,Yes,High,Very,
1-5,Middle management,Business Development,5-10,Male,56-65,>1000,Rural,United States,No,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Geschäftsführung,Unternehmertum,1-3,Männlich,36-45,>1000,Vorstadt / Ballungsraum,Schweiz,Ja,Herstellung,Hoch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Executive management,Sales,5-10,Male,46-55,50-249,Urban,India,No,Agriculture,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Entry level staff,Finance,0-1,Male,18-25,>1000,Suburban / agglomeration,South Africa,Yes,Finance,Medium,,,,,,,,,,,,4,3,2,4,3,5,5-10,>20,>20,Yes,0,1-3,3-5,10-20,5-10,3-5,1-3,3-5,5-10,"riskier, high-return products",3-5,3-5,5-10,0,3-5,20%,3-5,5-10,No,Neutral,Somewhat,Not at all,Somewhat,"Yes, frequently",Somewhat,Not sure,Below expectations,No,High,Very,
1-5,Intermediate level staff,Information Technology,1-3,Male,26-35,1-9,Suburban / agglomeration,Mexico,Yes,IT / Software / Tech,Medium,,,,,,,,,,,,6,6,5,2,5,6,0,0,0,No,1-3,0,1-3,3-5,1-3,1-3,1-3,1-3,0,"secure, low-return financial products",0,1-3,3-5,1-3,0,60%,10-20,1-3,Yes,Satisfied,Very,Very,Extremely,No,Very,Probably yes,Exceeds expectations,Yes,Very High,Very,
0,Senior staff,Healthcare Services,5-10,Female,46-55,>1000,Suburban / agglomeration,United States,No,Health Care,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Executive management,Human Resources,1-3,Female,36-45,>1000,Rural,Switzerland,No,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Business Development,1-3,Male,36-45,1-9,Suburban / agglomeration,Switzerland,No,Finance,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Geschäftsführung,Verwaltung,>10,Weiblich,46-55,50-249,Städtisch,Schweiz,Nein,Regierung / Öffentliche Verwaltung,Niedrig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,First-level management,Human Resources,3-5,Female,56-65,>1000,Suburban / agglomeration,United States,No,Energy,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Self employed / contractor,Healthcare Services,>10,Female,46-55,1-9,Rural,No answer,Yes,Health Care,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Community and Social Services,1-3,Female,56-65,250-1000,Suburban / agglomeration,United States,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Senior staff,Information Technology,1-3,Female,18-25,50-249,Urban,France,Yes,IT / Software / Tech,Low,,,,,,,,,,,,5,6,6,5,4,5,0,0,1-3,Yes,1-3,1-3,1-3,1-3,3-5,3-5,0,1-3,1-3,"secure, low-return financial products",0,1-3,1-3,0,3-5,50%,1-3,0,No,Satisfied,Very,Somewhat,Very,"Yes, occasionally",Very,Probably yes,Meets expectations,Yes,High,Somewhat,
0,Intermediate level staff,Education,3-5,Female,46-55,1-9,Urban,United States,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Executive management,Information Technology,3-5,Female,26-35,50-249,Suburban / agglomeration,South Africa,No,IT / Software / Tech,Medium,,,,,,,,,,,,7,6,6,4,2,7,0,0,1-3,No,1-3,1-3,1-3,0,1-3,5-10,1-3,3-5,1-3,"riskier, high-return products",0,1-3,5-10,5-10,0,90%,5-10,1-3,No,Very satisfied,Extremely,Extremely,Extremely,No,Very,Definitely yes,Exceeds expectations,Yes,High,Extremely,
10-20,Executive management,Operations,1-3,Male,>65,>1000,Urban,Switzerland,No,Government,Low,Very low,4,2,4,Low,Average,Average (2-3 days a week),Low,Average,Average,Average,3,5,4,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Finance,1-3,Male,46-55,>1000,Suburban / agglomeration,United Kingdom,No,Finance,Low,,,,,,,,,,,,4,5,7,7,1,5,>20,0,0,No,1-3,0,1-3,>20,5-10,10-20,1-3,3-5,0,"riskier, high-return products",0,0,1-3,0,0,30%,1-3,0,No,Satisfied,Extremely,Very,Very,No,Somewhat,Definitely yes,Meets expectations,Yes,Average,Somewhat,
>20,Executive management,Information Technology,>10,Female,26-35,>1000,Rural,United Kingdom,Yes,Other,Medium,,,,,,,,,,,,7,6,7,2,5,7,>20,>20,5-10,Yes,0,1-3,5-10,1-3,>20,>20,0,5-10,10-20,"riskier, high-return products",No answer,5-10,5-10,3-5,1-3,70%,3-5,5-10,Yes,Satisfied,Very,Slightly,Extremely,No,Somewhat,Probably yes,Exceeds expectations,Yes,High,Extremely,
5-10,Middle management,Operations,5-10,Male,36-45,>1000,Urban,Vietnam,No,Manufacturing,Medium,,,,,,,,,,,,6,4,5,5,5,6,>20,1-3,0,No,1-3,1-3,0,1-3,1-3,0,1-3,1-3,0,"riskier, high-return products",1-3,0,1-3,0,0,50%,0,0,No,Neutral,Somewhat,Very,Somewhat,"Yes, occasionally",Somewhat,Not sure,Meets expectations,Yes,High,Somewhat,
1-5,Intermediate level staff,Finance,1-3,Male,26-35,250-1000,Urban,Greece,Yes,IT / Software / Tech,Medium,,,,,,,,,,,,6,6,5,5,3,6,0,0,0,Yes,0,0,1-3,0,5-10,1-3,0,1-3,3-5,"secure, low-return financial products",0,0,>20,5-10,1-3,70%,1-3,1-3,Yes,Satisfied,Very,Very,Extremely,No,Very,Definitely yes,Far exceeds expectations,Yes,Very High,Extremely,
5-10,Executive management,Sales,5-10,Male,46-55,>1000,Urban,Spain,No,Agriculture,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Senior staff,Consulting,>10,Male,56-65,250-1000,Suburban / agglomeration,United States,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Executive management,Entrepreneurship,3-5,Male,36-45,1-9,Suburban / agglomeration,United States,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Education,3-5,Female,26-35,10-49,Urban,Canada,Yes,Education,Medium,,,,,,,,,,,,4,4,4,3,6,4,0,0,0,No,0,0,0,>20,5-10,5-10,0,1-3,0,"secure, low-return financial products",0,0,0,0,0,70%,0,0,No,Neutral,Somewhat,Somewhat,Somewhat,No,Somewhat,Probably yes,Meets expectations,No,Average,Very,
1-5,Erste Managementebene,Gesundheitswesen,3-5,Weiblich,26-35,50-249,Ländlich,Deutschland,Nein,Gesundheitswesen,Mittel,,,,,,,,,,,,6,1,3,5,5,7,0,0,0,Nein,0,0,0,1-3,3-5,1-3,1-3,1-3,1-3,"sichere, niedrig verzinste Finanzprodukte",Keine Antwort,0,1-3,1-3,0,50%,1-3,1-3,Ja,Sehr unzufrieden,Etwas,Überhaupt nicht,Ein wenig,"Ja, häufig",Überhaupt nicht,Wahrscheinlich nicht,Entspricht den Erwartungen,Ja,,Keine Antwort,Hoch
0,First-level management,Education,0-1,Female,46-55,>1000,Suburban / agglomeration,United States,Yes,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
